object_class,permissions
file,"read,write,execute,append,unlink,create,rename,setattr,getattr,lock,relabelfrom,relabelto,ioctl,link,open,quotaon,swapon,mounton"
dir,"read,write,add_name,remove_name,reparent,search,getattr,setattr,ioctl,lock,open,quotaon,swapon,mounton"
tcp_socket,"name_bind,create,connect,listen,accept,send,recv,setopt,getopt,shutdown,recvfrom,sendto,name_connect"
udp_socket,"name_bind,create,connect,send,recv,setopt,getopt,shutdown,recvfrom,sendto"
security,"compute_av,compute_create,compute_member,check_context,load_policy,compute_relabel,compute_user,setenforce,setbool,setsecparam"
process,"fork,transition,sigchld,sigkill,sigstop,signull,signal,ptrace,getsched,setsched,getsession,getpgid,setpgid,getcap,setcap,share,getattr,setexec,setfscreate,noatsecure,siginh,setrlimit,rlimitinh,dyntransition,setcurrent,execmem,execstack,execheap,setkeycreate,setsockcreate,getrlimit"
filesystem,"mount,remount,unmount,getattr,relabelfrom,relabelto,associate,quotamod,quotaget"
netif,"ingress,egress,rawip_recv,rawip_send,tcp_recv,tcp_send,udp_recv,udp_send"
node,"recvfrom,sendto,enforce_dest"
chr_file,"read,write,create,unlink,getattr,setattr"
blk_file,"read,write,create,setattr,relabelfrom,relabelto"
capability,"chown,dac_override,dac_read_search,fowner,fsetid,kill,setgid,setuid,setpcap,linux_immutable,net_bind_service,net_broadcast,net_admin,net_raw,ipc_lock,ipc_owner,sys_module,sys_rawio,sys_chroot,sys_ptrace,sys_pacct,sys_admin,sys_boot,sys_nice,sys_resource,sys_time,sys_tty_config,mknod,lease,audit_write,audit_control,setfcap"
system,"ipc_info,syslog_read,syslog_mod,syslog_console,module_request,module_load"
