source_type,target_type,object_class,permissions,violation_class
user_t,sensitive_file_t,file,"read,write",1
admin_t,sensitive_file_t,file,"write,read",1
httpd_t,user_home_t,dir,"read,write",1
named_t,user_home_t,dir,"write,read",1
backup_t,all_files_t,file,"read,write,unlink",1
audit_t,audit_log_t,file,"read,write,append",1
user_t,admin_home_t,dir,"read,write",1
sshd_t,shadow_t,file,"read,write",1
mail_t,mail_spool_t,file,"read,write,append",1
cron_t,user_home_t,dir,"read,write",1
httpd_t,all_ports_t,tcp_socket,name_bind,2
named_t,all_ports_t,udp_socket,name_bind,2
user_t,security_t,security,setenforce,3
sshd_t,user_tmp_t,file,"read,write,execute",3
init_t,unlabeled_t,file,execute,3
user_t,proc_t,file,write,4
dhcpc_t,etc_t,file,write,4
named_t,etc_t,file,write,4
logrotate_t,log_type,file,"read,write,unlink",0
passwd_t,shadow_t,file,"read,write",0
httpd_t,httpd_tmp_t,file,"read,write",0
named_t,named_zone_t,file,"read,write,create,unlink",0
nfsd_t,nfsd_fs_t,file,"read,write,append",0
user_t,user_home_t,dir,"read,write,execute,create,getattr,setattr,search,ioctl,lock",0
admin_t,etc_t,file,"read,getattr,lock,open",0
httpd_t,httpd_log_t,file,"read,write,append,create,getattr,setattr,lock,ioctl",0
named_t,named_cache_t,dir,"read,write,add_name,remove_name,search",0
backup_t,user_home_t,dir,"read,getattr,search,open",0
audit_t,audit_log_t,file,"read,write,append,create,getattr,setattr,lock",0
sshd_t,sshd_tmp_t,file,"read,write,create,unlink,rename,getattr,setattr",0
mail_t,mail_spool_t,dir,"read,write,add_name,remove_name,search,getattr,setattr",0
cron_t,cron_log_t,file,"read,write,append,create,getattr,setattr",0
logrotate_t,var_log_t,file,"read,write,create,unlink,rename,getattr,setattr",0
passwd_t,shadow_t,file,"read,write,getattr,setattr,lock",0
nfsd_t,nfsd_fs_t,dir,"read,write,add_name,remove_name,search,getattr,setattr",0
ftpd_t,ftp_home_t,dir,"read,write,add_name,remove_name,search,getattr,setattr",0
mysqld_t,mysqld_db_t,dir,"read,write,add_name,remove_name,search,getattr,setattr",0
postfix_t,postfix_spool_t,dir,"read,write,add_name,remove_name,search,getattr,setattr",0
squid_t,squid_cache_t,dir,"read,write,add_name,remove_name,search,getattr,setattr",0
dhcpd_t,dhcpd_state_t,file,"read,write,create,unlink,rename,getattr,setattr",0
ntpd_t,ntp_drift_t,file,"read,write,create,getattr,setattr",0
snmpd_t,snmpd_var_lib_t,dir,"read,write,add_name,remove_name,search,getattr,setattr",0
syslogd_t,var_log_t,dir,"read,write,add_name,remove_name,search,getattr,setattr",0
udev_t,device_t,chr_file,"read,write,create,unlink,getattr,setattr",0
xdm_t,xdm_tmp_t,file,"read,write,create,unlink,rename,getattr,setattr",0
zabbix_agent_t,zabbix_var_lib_t,dir,"read,write,add_name,remove_name,search,getattr,setattr",0
user_t,user_tmp_t,file,"read,write,create,unlink,rename,getattr,setattr",0
admin_t,admin_home_t,dir,"read,write,execute,create,getattr,setattr,search,ioctl,lock",0
httpd_t,http_port_t,tcp_socket,"name_bind,listen,accept",0
named_t,dns_port_t,udp_socket,"name_bind,recv,send",0
backup_t,backup_exec_t,file,"read,execute,getattr,execute_no_trans",0
audit_t,auditd_log_t,dir,"read,write,add_name,remove_name,search,getattr,setattr",0
sshd_t,sshd_key_t,file,"read,getattr",0
mail_t,smtp_port_t,tcp_socket,"name_bind,listen,accept",0
cron_t,user_cron_spool_t,file,"read,getattr",0
logrotate_t,logrotate_tmp_t,file,"read,write,create,unlink,rename,getattr,setattr",0
passwd_t,passwd_exec_t,file,"read,execute,getattr,execute_no_trans",0
nfsd_t,nfsd_port_t,tcp_socket,"name_bind,listen,accept",0
ftpd_t,ftp_port_t,tcp_socket,"name_bind,listen,accept",0
mysqld_t,mysqld_port_t,tcp_socket,"name_bind,listen,accept",0
postfix_t,postfix_master_map_t,file,"read,getattr",0
squid_t,squid_port_t,tcp_socket,"name_bind,listen,accept",0
dhcpd_t,dhcpd_port_t,udp_socket,"name_bind,recv,send",0
ntpd_t,ntp_port_t,udp_socket,"name_bind,recv,send",0
