source_type,target_type,object_class,permissions,violation_class
user_t,sensitive_file_t,file,read,1
user_t,sensitive_file_t,file,write,1
admin_t,sensitive_file_t,file,write,1
admin_t,sensitive_file_t,file,read,1
httpd_t,user_home_t,dir,read,1
httpd_t,user_home_t,dir,write,1
named_t,user_home_t,dir,write,1
named_t,user_home_t,dir,read,1
backup_t,all_files_t,file,read,1
backup_t,all_files_t,file,write,1
backup_t,all_files_t,file,unlink,1
audit_t,audit_log_t,file,read,1
audit_t,audit_log_t,file,write,1
audit_t,audit_log_t,file,append,1
user_t,admin_home_t,dir,read,1
user_t,admin_home_t,dir,write,1
sshd_t,shadow_t,file,read,1
sshd_t,shadow_t,file,write,1
mail_t,mail_spool_t,file,read,1
mail_t,mail_spool_t,file,write,1
mail_t,mail_spool_t,file,append,1
cron_t,user_home_t,dir,read,1
cron_t,user_home_t,dir,write,1
httpd_t,all_ports_t,tcp_socket,name_bind,2
named_t,all_ports_t,udp_socket,name_bind,2
user_t,security_t,security,setenforce,3
sshd_t,user_tmp_t,file,read,3
sshd_t,user_tmp_t,file,write,3
sshd_t,user_tmp_t,file,execute,3
init_t,unlabeled_t,file,execute,3
user_t,proc_t,file,write,4
dhcpc_t,etc_t,file,write,4
named_t,etc_t,file,write,4
logrotate_t,log_type,file,read,0
logrotate_t,log_type,file,write,0
logrotate_t,log_type,file,unlink,0
passwd_t,shadow_t,file,read,0
passwd_t,shadow_t,file,write,0
httpd_t,httpd_tmp_t,file,read,0
httpd_t,httpd_tmp_t,file,write,0
named_t,named_zone_t,file,read,0
named_t,named_zone_t,file,write,0
named_t,named_zone_t,file,create,0
named_t,named_zone_t,file,unlink,0
nfsd_t,nfsd_fs_t,file,read,0
nfsd_t,nfsd_fs_t,file,write,0
nfsd_t,nfsd_fs_t,file,append,0
user_t,user_home_t,dir,read,0
user_t,user_home_t,dir,write,0
user_t,user_home_t,dir,execute,0
user_t,user_home_t,dir,create,0
user_t,user_home_t,dir,getattr,0
user_t,user_home_t,dir,setattr,0
user_t,user_home_t,dir,search,0
user_t,user_home_t,dir,ioctl,0
user_t,user_home_t,dir,lock,0
