source_type,target_type,object_class,permissions,violation_class
user_t,sensitive_file_t,file,"read,write",1
admin_t,user_home_t,dir,"write,read",1
httpd_t,http_content_t,file,"write,read,append",1
named_t,named_zone_t,file,"write,read,unlink,create",1
backup_t,all_files_t,file,"write,unlink,read",1
audit_t,audit_log_t,file,"write,append,read",1
mail_t,mail_spool_t,file,"append,write,read",1
sshd_t,password_file_t,file,"write,read",1
cron_t,cron_log_t,file,"append,read,write",1
mysql_t,mysql_db_t,file,"unlink,create,write,read",1
user_t,user_home_t,file,read,0
user_t,user_tmp_t,file,"read,write,execute",0
sshd_t,user_home_t,dir,read,0
httpd_t,http_port_t,tcp_socket,name_bind,0
named_t,dns_port_t,udp_socket,name_bind,0
postfix_t,mail_spool_t,dir,"read,write,add_name,remove_name",0
crond_t,user_cron_spool_t,file,"read,write",0
httpd_t,var_log_t,file,append,0
named_t,etc_t,file,read,0
syslogd_t,var_log_t,file,"read,append",0
