1,2
NetworkManager_etc_rw_t,"configfile, file_type, non_auth_file_type, non_security_file_type"
NetworkManager_etc_t,"configfile, file_type, non_auth_file_type, non_security_file_type"
NetworkManager_exec_t,"application_exec_type, direct_init_entry, entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type, systemprocess_entry"
NetworkManager_initrc_exec_t,"entry_type, exec_type, file_type, init_script_file_type, non_auth_file_type, non_security_file_type"
NetworkManager_log_t,"file_type, logfile, non_auth_file_type, non_security_file_type"
NetworkManager_ssh_t,"application_domain_type, corenet_unlabeled_type, domain, kernel_system_state_reader, netlabel_peer_type, nsswitch_domain, pcmcia_typeattr_1, syslog_client_type"
NetworkManager_t,"application_domain_type, corenet_unlabeled_type, daemon, domain, initrc_transition_domain, kernel_system_state_reader, netlabel_peer_type, nsswitch_domain, pcmcia_typeattr_1, syslog_client_type, system_bus_type, systemprocess, userdom_home_reader_certs_type"
NetworkManager_tmp_t,"file_type, non_auth_file_type, non_security_file_type, polymember, tmpfile"
NetworkManager_unit_file_t,"file_type, non_auth_file_type, non_security_file_type, systemd_unit_file_type"
NetworkManager_var_lib_t,"file_type, non_auth_file_type, non_security_file_type"
NetworkManager_var_run_t,"file_type, non_auth_file_type, non_security_file_type, pidfile"
abrt_dump_oops_exec_t,"application_exec_type, entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type, systemprocess_entry"
abrt_dump_oops_t,"abrt_domain, application_domain_type, can_change_object_identity, corenet_unlabeled_type, domain, kernel_system_state_reader, pcmcia_typeattr_1, syslog_client_type, systemprocess"
abrt_etc_t,"configfile, file_type, non_auth_file_type, non_security_file_type"
abrt_exec_t,"application_exec_type, direct_init_entry, entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type, systemprocess_entry"
abrt_handle_event_exec_t,"application_exec_type, entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type"
abrt_handle_event_t,"abrt_domain, application_domain_type, can_change_object_identity, can_load_kernmodule, can_load_policy, can_read_shadow_passwords, can_relabelto_binary_policy, can_relabelto_shadow_passwords, can_setbool, can_setenforce, can_setsecparam, can_write_shadow_passwords, corenet_unconfined_type, corenet_unlabeled_type, dbusd_unconfined, devices_unconfined_type, domain, files_unconfined_type, filesystem_unconfined_type, kern_unconfined, kernel_system_state_reader, named_filetrans_domain, process_uncond_exempt, selinux_unconfined_type, sepgsql_unconfined_type, storage_unconfined_type, unconfined_domain_type, userdom_filetrans_type, x_domain, xserver_unconfined_type"
abrt_helper_exec_t,"application_exec_type, entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type"
abrt_helper_t,"abrt_domain, application_domain_type, corenet_unlabeled_type, domain, kernel_system_state_reader, netlabel_peer_type, nsswitch_domain, pcmcia_typeattr_1, syslog_client_type"
