1,2
NetworkManager_dispatcher_chronyc_script_t,"application_exec_type, entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type, networkmanager_dispatcher_script"
NetworkManager_dispatcher_chronyc_t,"application_domain_type, corenet_unlabeled_type, domain, networkmanager_dispatcher_plugin, pcmcia_typeattr_1"
NetworkManager_dispatcher_cloud_script_t,"application_exec_type, entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type, networkmanager_dispatcher_script"
NetworkManager_dispatcher_cloud_t,"application_domain_type, corenet_unlabeled_type, domain, networkmanager_dispatcher_plugin, pcmcia_typeattr_1"
NetworkManager_dispatcher_console_script_t,"application_exec_type, entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type, networkmanager_dispatcher_script"
NetworkManager_dispatcher_console_t,"application_domain_type, corenet_unlabeled_type, domain, networkmanager_dispatcher_plugin, pcmcia_typeattr_1"
NetworkManager_dispatcher_console_var_run_t,"file_type, non_auth_file_type, non_security_file_type, pidfile"
NetworkManager_dispatcher_custom_t,"application_domain_type, can_read_shadow_passwords, can_write_shadow_passwords, can_relabelto_shadow_passwords, can_change_object_identity, can_load_kernmodule, can_load_policy, can_setbool, can_setenforce, can_setsecparam, corenet_unconfined_type, corenet_unlabeled_type, devices_unconfined_type, domain, files_unconfined_type, filesystem_unconfined_type, kern_unconfined, named_filetrans_domain, process_uncond_exempt, selinux_unconfined_type, storage_unconfined_type, unconfined_domain_type, dbusd_unconfined, networkmanager_dispatcher_plugin, sepgsql_unconfined_type, can_relabelto_binary_policy, userdom_filetrans_type, x_domain, xserver_unconfined_type"
NetworkManager_dispatcher_ddclient_script_t,"application_exec_type, entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type, networkmanager_dispatcher_script"
NetworkManager_dispatcher_ddclient_t,"application_domain_type, corenet_unlabeled_type, domain, networkmanager_dispatcher_plugin, pcmcia_typeattr_1"
NetworkManager_dispatcher_dhclient_script_t,"application_exec_type, entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type, networkmanager_dispatcher_script"
NetworkManager_dispatcher_dhclient_t,"application_domain_type, corenet_unlabeled_type, domain, networkmanager_dispatcher_plugin, pcmcia_typeattr_1"
NetworkManager_dispatcher_dnssec_script_t,"application_exec_type, entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type, networkmanager_dispatcher_script"
NetworkManager_dispatcher_dnssec_t,"application_domain_type, corenet_unlabeled_type, domain, networkmanager_dispatcher_plugin, pcmcia_typeattr_1"
NetworkManager_dispatcher_exec_t,"application_exec_type, entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type, direct_init_entry, systemprocess_entry"
NetworkManager_dispatcher_iscsid_script_t,"application_exec_type, entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type, networkmanager_dispatcher_script"
NetworkManager_dispatcher_iscsid_t,"application_domain_type, corenet_unlabeled_type, domain, networkmanager_dispatcher_plugin, pcmcia_typeattr_1"
NetworkManager_dispatcher_script_t,"application_exec_type, entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type, networkmanager_dispatcher_script"
NetworkManager_dispatcher_sendmail_script_t,"application_exec_type, entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type, networkmanager_dispatcher_script"
NetworkManager_dispatcher_sendmail_t,"application_domain_type, corenet_unlabeled_type, domain, networkmanager_dispatcher_plugin, pcmcia_typeattr_1"
NetworkManager_dispatcher_t,"application_domain_type, corenet_unlabeled_type, domain, system_bus_type, daemon, systemprocess, syslog_client_type, pcmcia_typeattr_1"
NetworkManager_dispatcher_tlp_script_t,"application_exec_type, entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type, networkmanager_dispatcher_script"
NetworkManager_dispatcher_tlp_t,"application_domain_type, corenet_unlabeled_type, domain, syslog_client_type, networkmanager_dispatcher_plugin, pcmcia_typeattr_1"
