Source,Target,ObjectClass,Permission
NetworkManager_dispatcher_chronyc_t,NetworkManager_dispatcher_chronyc_t,capability,net_admin
NetworkManager_dispatcher_chronyc_t,NetworkManager_dispatcher_chronyc_t,capability,sys_module
NetworkManager_dispatcher_chronyc_t,NetworkManager_dispatcher_chronyc_t,file,create;
NetworkManager_dispatcher_chronyc_t,NetworkManager_dispatcher_chronyc_t,udp_socket,listen;
NetworkManager_dispatcher_cloud_t,NetworkManager_dispatcher_cloud_t,capability,net_admin
NetworkManager_dispatcher_cloud_t,NetworkManager_dispatcher_cloud_t,capability,sys_module
NetworkManager_dispatcher_cloud_t,NetworkManager_dispatcher_cloud_t,capability,sys_ptrace
NetworkManager_dispatcher_cloud_t,NetworkManager_dispatcher_cloud_t,capability,sys_resource
NetworkManager_dispatcher_cloud_t,NetworkManager_dispatcher_cloud_t,file,create;
NetworkManager_dispatcher_cloud_t,NetworkManager_dispatcher_cloud_t,process,setrlimit;
NetworkManager_dispatcher_cloud_t,NetworkManager_dispatcher_cloud_t,udp_socket,listen;
NetworkManager_dispatcher_console_t,NetworkManager_dispatcher_console_t,capability,net_admin
NetworkManager_dispatcher_console_t,NetworkManager_dispatcher_console_t,capability,sys_module
NetworkManager_dispatcher_console_t,NetworkManager_dispatcher_console_t,file,create;
NetworkManager_dispatcher_console_t,NetworkManager_dispatcher_console_t,udp_socket,listen;
NetworkManager_dispatcher_custom_t,NetworkManager_dispatcher_custom_t,capability,net_admin
NetworkManager_dispatcher_custom_t,NetworkManager_dispatcher_custom_t,capability,sys_module
NetworkManager_dispatcher_custom_t,NetworkManager_dispatcher_custom_t,capability,sys_ptrace
NetworkManager_dispatcher_custom_t,NetworkManager_dispatcher_custom_t,capability,sys_resource
NetworkManager_dispatcher_custom_t,NetworkManager_dispatcher_custom_t,file,create;
NetworkManager_dispatcher_custom_t,NetworkManager_dispatcher_custom_t,process,setrlimit;
NetworkManager_dispatcher_custom_t,NetworkManager_dispatcher_custom_t,udp_socket,listen;
NetworkManager_dispatcher_ddclient_t,NetworkManager_dispatcher_ddclient_t,capability,net_admin
NetworkManager_dispatcher_ddclient_t,NetworkManager_dispatcher_ddclient_t,capability,sys_module
NetworkManager_dispatcher_ddclient_t,NetworkManager_dispatcher_ddclient_t,capability,sys_ptrace
NetworkManager_dispatcher_ddclient_t,NetworkManager_dispatcher_ddclient_t,capability,sys_resource
NetworkManager_dispatcher_ddclient_t,NetworkManager_dispatcher_ddclient_t,file,create;
NetworkManager_dispatcher_ddclient_t,NetworkManager_dispatcher_ddclient_t,process,setrlimit;
NetworkManager_dispatcher_ddclient_t,NetworkManager_dispatcher_ddclient_t,udp_socket,listen;
NetworkManager_dispatcher_dhclient_t,NetworkManager_dispatcher_dhclient_t,capability,net_admin
NetworkManager_dispatcher_dhclient_t,NetworkManager_dispatcher_dhclient_t,capability,sys_module
NetworkManager_dispatcher_dhclient_t,NetworkManager_dispatcher_dhclient_t,file,create;
NetworkManager_dispatcher_dhclient_t,NetworkManager_dispatcher_dhclient_t,udp_socket,listen;
NetworkManager_dispatcher_dnssec_t,NetworkManager_dispatcher_dnssec_t,capability,net_admin
NetworkManager_dispatcher_dnssec_t,NetworkManager_dispatcher_dnssec_t,capability,sys_module
NetworkManager_dispatcher_dnssec_t,NetworkManager_dispatcher_dnssec_t,file,create;
NetworkManager_dispatcher_dnssec_t,NetworkManager_dispatcher_dnssec_t,udp_socket,listen;
NetworkManager_dispatcher_iscsid_t,NetworkManager_dispatcher_iscsid_t,capability,net_admin
NetworkManager_dispatcher_iscsid_t,NetworkManager_dispatcher_iscsid_t,capability,sys_module
NetworkManager_dispatcher_iscsid_t,NetworkManager_dispatcher_iscsid_t,capability,sys_ptrace
NetworkManager_dispatcher_iscsid_t,NetworkManager_dispatcher_iscsid_t,capability,sys_resource
NetworkManager_dispatcher_iscsid_t,NetworkManager_dispatcher_iscsid_t,file,create;
NetworkManager_dispatcher_iscsid_t,NetworkManager_dispatcher_iscsid_t,process,setrlimit;
NetworkManager_dispatcher_iscsid_t,NetworkManager_dispatcher_iscsid_t,udp_socket,listen;
NetworkManager_dispatcher_sendmail_t,NetworkManager_dispatcher_sendmail_t,capability,net_admin
NetworkManager_dispatcher_sendmail_t,NetworkManager_dispatcher_sendmail_t,capability,sys_module
NetworkManager_dispatcher_sendmail_t,NetworkManager_dispatcher_sendmail_t,capability,sys_ptrace
NetworkManager_dispatcher_sendmail_t,NetworkManager_dispatcher_sendmail_t,capability,sys_resource
NetworkManager_dispatcher_sendmail_t,NetworkManager_dispatcher_sendmail_t,file,create;
NetworkManager_dispatcher_sendmail_t,NetworkManager_dispatcher_sendmail_t,process,setrlimit;
NetworkManager_dispatcher_sendmail_t,NetworkManager_dispatcher_sendmail_t,udp_socket,listen;
NetworkManager_dispatcher_t,NetworkManager_dispatcher_t,capability,sys_nice; [ daemons_dontaudit_scheduling ]:True
NetworkManager_dispatcher_t,NetworkManager_dispatcher_t,capability,net_admin
NetworkManager_dispatcher_t,NetworkManager_dispatcher_t,capability,sys_module
NetworkManager_dispatcher_t,NetworkManager_dispatcher_t,file,create;
NetworkManager_dispatcher_t,NetworkManager_dispatcher_t,process,setsched; [ daemons_dontaudit_scheduling ]:True
NetworkManager_dispatcher_t,NetworkManager_dispatcher_t,udp_socket,listen;
NetworkManager_dispatcher_tlp_t,NetworkManager_dispatcher_tlp_t,capability,net_admin
NetworkManager_dispatcher_tlp_t,NetworkManager_dispatcher_tlp_t,capability,sys_module
NetworkManager_dispatcher_tlp_t,NetworkManager_dispatcher_tlp_t,file,create;
NetworkManager_dispatcher_tlp_t,NetworkManager_dispatcher_tlp_t,udp_socket,listen;
NetworkManager_dispatcher_winbind_t,NetworkManager_dispatcher_winbind_t,capability,net_admin
NetworkManager_dispatcher_winbind_t,NetworkManager_dispatcher_winbind_t,capability,sys_module
NetworkManager_dispatcher_winbind_t,NetworkManager_dispatcher_winbind_t,capability,sys_ptrace
NetworkManager_dispatcher_winbind_t,NetworkManager_dispatcher_winbind_t,capability,sys_resource
NetworkManager_dispatcher_winbind_t,NetworkManager_dispatcher_winbind_t,file,create;
NetworkManager_dispatcher_winbind_t,NetworkManager_dispatcher_winbind_t,process,setrlimit;
NetworkManager_dispatcher_winbind_t,NetworkManager_dispatcher_winbind_t,udp_socket,listen;
NetworkManager_priv_helper_t,NetworkManager_priv_helper_t,capability,net_admin
NetworkManager_priv_helper_t,NetworkManager_priv_helper_t,capability,sys_module
NetworkManager_priv_helper_t,NetworkManager_priv_helper_t,file,create;
NetworkManager_priv_helper_t,NetworkManager_priv_helper_t,udp_socket,listen;
NetworkManager_ssh_t,NetworkManager_ssh_t,capability,net_bind_service; [ nis_enabled ]:True
NetworkManager_ssh_t,NetworkManager_ssh_t,capability,net_admin
NetworkManager_ssh_t,NetworkManager_ssh_t,capability,sys_module
NetworkManager_ssh_t,NetworkManager_ssh_t,file,create;
NetworkManager_ssh_t,NetworkManager_ssh_t,process,setfscreate;
NetworkManager_ssh_t,NetworkManager_ssh_t,udp_socket,listen;
NetworkManager_t,NetworkManager_t,capability,net_bind_service; [ nis_enabled ]:True
NetworkManager_t,NetworkManager_t,capability,sys_nice; [ daemons_dontaudit_scheduling ]:True
NetworkManager_t,NetworkManager_t,capability,net_admin
NetworkManager_t,NetworkManager_t,capability,sys_module
NetworkManager_t,NetworkManager_t,capability,sys_ptrace
NetworkManager_t,NetworkManager_t,capability,sys_resource
NetworkManager_t,NetworkManager_t,capability,sys_tty_config
NetworkManager_t,NetworkManager_t,file,create;
NetworkManager_t,NetworkManager_t,process,setsched; [ daemons_dontaudit_scheduling ]:True
NetworkManager_t,NetworkManager_t,process,setfscreate
NetworkManager_t,NetworkManager_t,process,setrlimit
NetworkManager_t,NetworkManager_t,udp_socket,listen;
NetworkManager_t,bluetooth_helper_t,dir,getattr
NetworkManager_t,bluetooth_helper_t,dir,open
NetworkManager_t,bluetooth_helper_t,dir,search
NetworkManager_t,bluetooth_helper_t,file,getattr
NetworkManager_t,bluetooth_helper_t,file,ioctl
NetworkManager_t,bluetooth_helper_t,file,lock
NetworkManager_t,bluetooth_helper_t,file,open
NetworkManager_t,bluetooth_helper_t,file,read
NetworkManager_t,device_t,blk_file,getattr;
NetworkManager_t,initrc_tmp_t,fifo_file,append
NetworkManager_t,initrc_tmp_t,fifo_file,getattr
NetworkManager_t,initrc_tmp_t,fifo_file,ioctl
NetworkManager_t,initrc_tmp_t,fifo_file,lock
NetworkManager_t,initrc_tmp_t,fifo_file,open
NetworkManager_t,initrc_tmp_t,fifo_file,write
NetworkManager_t,initrc_var_run_t,file,lock
NetworkManager_t,initrc_var_run_t,file,write
NetworkManager_t,kdumpctl_tmp_t,fifo_file,append
NetworkManager_t,kdumpctl_tmp_t,fifo_file,getattr
NetworkManager_t,kdumpctl_tmp_t,fifo_file,ioctl
NetworkManager_t,kdumpctl_tmp_t,fifo_file,lock
NetworkManager_t,kdumpctl_tmp_t,fifo_file,read
NetworkManager_t,kdumpctl_tmp_t,fifo_file,write
NetworkManager_t,kernel_t,process,setsched;
NetworkManager_t,rpm_var_lib_t,dir,add_name
NetworkManager_t,rpm_var_lib_t,dir,create
NetworkManager_t,rpm_var_lib_t,dir,ioctl
NetworkManager_t,rpm_var_lib_t,dir,link
NetworkManager_t,rpm_var_lib_t,dir,lock
NetworkManager_t,rpm_var_lib_t,dir,read
NetworkManager_t,rpm_var_lib_t,dir,remove_name
NetworkManager_t,rpm_var_lib_t,dir,rename
NetworkManager_t,rpm_var_lib_t,dir,reparent
NetworkManager_t,rpm_var_lib_t,dir,rmdir
NetworkManager_t,rpm_var_lib_t,dir,setattr
NetworkManager_t,rpm_var_lib_t,dir,unlink
NetworkManager_t,rpm_var_lib_t,dir,watch
NetworkManager_t,rpm_var_lib_t,dir,watch_reads
NetworkManager_t,rpm_var_lib_t,dir,write
NetworkManager_t,rpm_var_lib_t,file,create
NetworkManager_t,rpm_var_lib_t,file,link
NetworkManager_t,rpm_var_lib_t,file,map
NetworkManager_t,rpm_var_lib_t,file,open
NetworkManager_t,rpm_var_lib_t,file,rename
NetworkManager_t,rpm_var_lib_t,file,setattr
NetworkManager_t,rpm_var_lib_t,file,unlink
NetworkManager_t,rpm_var_lib_t,file,watch
NetworkManager_t,rpm_var_lib_t,file,watch_reads
NetworkManager_t,rpm_var_lib_t,lnk_file,append
NetworkManager_t,rpm_var_lib_t,lnk_file,create
NetworkManager_t,rpm_var_lib_t,lnk_file,getattr
NetworkManager_t,rpm_var_lib_t,lnk_file,ioctl
NetworkManager_t,rpm_var_lib_t,lnk_file,link
NetworkManager_t,rpm_var_lib_t,lnk_file,lock
NetworkManager_t,rpm_var_lib_t,lnk_file,read
NetworkManager_t,rpm_var_lib_t,lnk_file,rename
NetworkManager_t,rpm_var_lib_t,lnk_file,setattr
NetworkManager_t,rpm_var_lib_t,lnk_file,unlink
NetworkManager_t,rpm_var_lib_t,lnk_file,watch
NetworkManager_t,rpm_var_lib_t,lnk_file,watch_reads
NetworkManager_t,rpm_var_lib_t,lnk_file,write
NetworkManager_t,sandbox_x_domain,dbus,send_msg;
NetworkManager_t,unpriv_userdomain,fd,use;
NetworkManager_t,user_tty_device_t,chr_file,append
NetworkManager_t,user_tty_device_t,chr_file,getattr
NetworkManager_t,user_tty_device_t,chr_file,ioctl
NetworkManager_t,user_tty_device_t,chr_file,lock
NetworkManager_t,user_tty_device_t,chr_file,read
NetworkManager_t,user_tty_device_t,chr_file,write
abrt_dump_oops_t,abrt_dump_oops_t,capability,net_admin
abrt_dump_oops_t,abrt_dump_oops_t,capability,sys_module
abrt_dump_oops_t,abrt_dump_oops_t,file,create;
abrt_dump_oops_t,abrt_dump_oops_t,udp_socket,listen;
abrt_dump_oops_t,nscd_t,sock_file,write;
abrt_dump_oops_t,nscd_t,unix_stream_socket,connectto;
abrt_dump_oops_t,nscd_var_run_t,sock_file,write;
abrt_handle_event_t,abrt_handle_event_t,capability,net_admin
abrt_handle_event_t,abrt_handle_event_t,capability,sys_module
abrt_handle_event_t,abrt_handle_event_t,capability,sys_ptrace
abrt_handle_event_t,abrt_handle_event_t,capability,sys_resource
abrt_handle_event_t,abrt_handle_event_t,file,create;
abrt_handle_event_t,abrt_handle_event_t,process,setrlimit;
abrt_handle_event_t,abrt_handle_event_t,udp_socket,listen;
abrt_helper_t,abrt_helper_t,capability,net_bind_service; [ nis_enabled ]:True
abrt_helper_t,abrt_helper_t,capability,net_admin
abrt_helper_t,abrt_helper_t,capability,sys_module
abrt_helper_t,abrt_helper_t,file,create;
abrt_helper_t,abrt_helper_t,process,setfscreate;
abrt_helper_t,abrt_helper_t,udp_socket,listen;
abrt_helper_t,device_node,blk_file,getattr
abrt_helper_t,device_node,blk_file,read
abrt_helper_t,device_node,blk_file,write
abrt_helper_t,device_node,chr_file,getattr
abrt_helper_t,device_node,chr_file,read
abrt_helper_t,device_node,chr_file,write
abrt_helper_t,non_security_file_type,blk_file,append
abrt_helper_t,non_security_file_type,blk_file,getattr
abrt_helper_t,non_security_file_type,blk_file,ioctl
abrt_helper_t,non_security_file_type,blk_file,lock
